ORL,IND
45,41
LAC,LAL
49,56
CHI,MIA
42,48
BRK,CLE
42,40
ATL,DAL
45,55
WAS,DET
44,48
LAL,GSW
43,61
CHA,HOU
37,45
ORL,MIN
57,50
IND,NOP
40,39
MIL,NYK
39,39
MIA,PHI
58,51
POR,PHO
41,47
DEN,SAC
39,41
MEM,SAS
47,51
BOS,TOR
35,43
OKC,UTA
39,42
NYK,CHI
40,34
GSW,LAC
52,51
TOR,ATL
47,46
MIL,BOS
41,38
MIA,BRK
39,41
CLE,CHA
36,36
POR,DEN
58,42
DAL,HOU
47,45
SAS,LAL
43,38
DET,MEM
49,46
OKC,MIN
36,41
NOP,ORL
38,50
UTA,PHO
36,37
LAC,SAC
47,42
PHI,WAS
54,50
MEM,DAL
40,39
SAC,GSW
36,50
CLE,IND
32,42
TOR,MIL
38,43
CHA,NOP
33,44
CHI,PHI
45,53
SAS,POR
53,53
HOU,UTA
43,38
BOS,DET
34,36
ATL,LAL
49,47
WAS,MIA
47,48
MIN,NYK
45,49
PHO,OKC
46,37
BRK,ORL
38,49
MIN,CLE
39,44
HOU,LAC
48,64
BOS,MEM
40,41
GSW,PHI
56,36
UTA,BRK
35,44
LAL,DAL
51,62
SAS,DEN
44,44
IND,DET
47,38
PHO,NOP
51,47
CHA,NYK
38,43
HOU,POR
47,46
ATL,SAC
47,45
MIA,TOR
51,37
UTA,BOS
38,47
TOR,CHA
42,39
CHI,IND
31,43
NOP,MEM
42,38
CLE,MIL
50,49
GSW,MIN
50,38
DAL,OKC
45,48
LAC,ORL
39,45
WAS,PHI
61,45
PHO,SAS
49,47
ATL,DEN
51,56
LAL,HOU
52,36
LAC,MIA
44,43
NYK,CHA
54,35
UTA,CHI
32,41
OKC,DET
43,50
TOR,IND
38,42
DAL,MIN
54,49
LAL,NOP
37,41
BOS,ORL
36,37
CLE,PHI
39,47
DEN,PHO
44,49
SAC,POR
42,49
GSW,SAS
37,36
BRK,WAS
47,51
ORL,ATL
46,49
IND,BRK
44,43
PHI,CLE
58,59
LAC,HOU
51,42
GSW,MEM
43,47
BOS,MIA
56,46
DAL,MIL
39,42
POR,SAC
45,39
UTA,TOR
37,50
MIN,LAL
54,45
SAS,NYK
53,37
WAS,OKC
52,47
NOP,PHO
43,45
ORL,BOS
46,56
ATL,CHA
45,38
CLE,CHI
36,38
TOR,HOU
46,44
MEM,IND
35,43
MIN,LAC
51,48
SAS,PHI
57,39
DET,POR
45,53
DEN,UTA
41,34
WAS,DAL
42,51
DET,GSW
40,50
NOP,LAL
37,55
MIL,MIA
44,58
NYK,ATL
49,40
CHA,BOS
33,36
LAL,DEN
45,46
OKC,LAC
41,45
TOR,MEM
39,41
CLE,MIN
41,56
MIL,ORL
38,44
HOU,PHI
58,54
PHO,POR
42,41
BRK,SAC
34,49
WAS,SAS
38,47
NOP,UTA
47,46
OKC,GSW
50,59
HOU,NYK
40,46
PHI,ATL
45,49
POR,BOS
49,44
CHA,CLE
40,36
MIN,DEN
52,54
MIL,IND
38,45
MEM,LAL
38,45
DAL,MIA
49,45
BRK,PHO
40,44
DET,SAC
44,44
CHI,TOR
43,34
