ORL,IND
81,75
LAC,LAL
90,98
CHI,MIA
77,85
BRK,CLE
75,75
ATL,DAL
82,99
WAS,DET
78,87
LAL,GSW
78,107
CHA,HOU
70,81
ORL,MIN
104,92
IND,NOP
70,73
MIL,NYK
73,75
MIA,PHI
100,94
POR,PHO
74,90
DEN,SAC
73,74
MEM,SAS
86,91
BOS,TOR
67,81
OKC,UTA
72,78
NYK,CHI
71,65
GSW,LAC
92,93
TOR,ATL
87,82
MIL,BOS
76,72
MIA,BRK
71,74
CLE,CHA
68,69
POR,DEN
102,78
DAL,HOU
85,79
SAS,LAL
81,68
DET,MEM
91,86
OKC,MIN
65,74
NOP,ORL
70,89
UTA,PHO
67,68
LAC,SAC
82,78
PHI,WAS
102,91
MEM,DAL
77,71
SAC,GSW
66,89
CLE,IND
61,74
TOR,MIL
69,80
CHA,NOP
63,81
CHI,PHI
87,95
SAS,POR
100,98
HOU,UTA
77,72
BOS,DET
65,70
ATL,LAL
89,85
WAS,MIA
82,85
MIN,NYK
80,89
PHO,OKC
78,72
BRK,ORL
72,91
MIN,CLE
73,83
HOU,LAC
89,113
BOS,MEM
73,77
GSW,PHI
97,67
UTA,BRK
66,84
LAL,DAL
90,111
SAS,DEN
84,79
IND,DET
85,71
PHO,NOP
90,84
CHA,NYK
68,78
HOU,POR
88,82
ATL,SAC
86,80
MIA,TOR
92,68
UTA,BOS
75,87
TOR,CHA
77,75
CHI,IND
57,79
NOP,MEM
80,72
CLE,MIL
88,85
GSW,MIN
92,72
DAL,OKC
81,91
LAC,ORL
75,85
WAS,PHI
104,84
PHO,SAS
91,88
ATL,DEN
94,98
LAL,HOU
88,65
LAC,MIA
80,81
NYK,CHA
96,66
UTA,CHI
57,79
OKC,DET
80,89
TOR,IND
70,78
DAL,MIN
98,90
LAL,NOP
68,79
BOS,ORL
70,70
CLE,PHI
69,87
DEN,PHO
80,89
SAC,POR
78,88
GSW,SAS
66,67
BRK,WAS
88,92
ORL,ATL
84,92
IND,BRK
81,78
PHI,CLE
105,105
LAC,HOU
93,77
GSW,MEM
76,89
BOS,MIA
102,87
DAL,MIL
72,73
POR,SAC
81,75
UTA,TOR
71,90
MIN,LAL
98,80
SAS,NYK
94,68
WAS,OKC
92,88
NOP,PHO
82,83
ORL,BOS
85,107
ATL,CHA
80,71
CLE,CHI
67,72
TOR,HOU
84,81
MEM,IND
66,80
MIN,LAC
91,92
SAS,PHI
101,73
DET,POR
87,95
DEN,UTA
77,65
WAS,DAL
75,92
DET,GSW
77,92
NOP,LAL
71,99
MIL,MIA
77,104
NYK,ATL
86,75
CHA,BOS
63,65
LAL,DEN
82,86
OKC,LAC
76,84
TOR,MEM
70,76
CLE,MIN
77,101
MIL,ORL
71,79
HOU,PHI
101,97
PHO,POR
79,76
BRK,SAC
65,90
WAS,SAS
71,86
NOP,UTA
89,83
OKC,GSW
91,104
HOU,NYK
71,84
PHI,ATL
85,88
POR,BOS
89,81
CHA,CLE
72,68
MIN,DEN
98,101
MIL,IND
68,85
MEM,LAL
75,80
DAL,MIA
86,85
BRK,PHO
78,78
DET,SAC
82,78
CHI,TOR
79,63
SAS,UTA
74,75
MIA,CHA
76,66
IND,CHI
72,91
UTA,GSW
78,91
DEN,HOU
98,91
BRK,LAC
81,90
OKC,MIL
73,68
BOS,MIN
73,87
PHI,NOP
76,117
ATL,NYK
97,78
DAL,ORL
96,78
CLE,WAS
82,80
DET,LAL
92,104
MEM,SAC
84,73
POR,TOR
103,87
